,iid,age,gender,field_of_study,ethnic_group,goal,match,satis_2,length,speed_date_nb
0,1,21.0,Female,Law,Asian,Meet new people,No,Satisfied,Too much,Too few
1,2,24.0,Female,Law,Caucasian,For fun,No,Neutral,Too much,Unknown
2,3,25.0,Female,Math,Caucasian,Other,No,Unknown,Unknown,Unknown
3,4,23.0,Female,Law,Caucasian,For fun,No,Not satisfied,Just right,Too many
4,5,21.0,Female,Law,Caucasian,Meet new people,No,Satisfied,Too much,Too many
5,6,23.0,Female,Law,Asian,For fun,No,Not satisfied,Just right,Too many
6,7,22.0,Female,Law,Asian,For fun,No,Unknown,Unknown,Unknown
7,8,25.0,Female,Political Science / International Affairs,Caucasian,For fun,No,Unknown,Unknown,Unknown
8,9,26.0,Female,Political Science / International Affairs,Other,For fun,No,Satisfied,Too much,Too few
9,10,26.0,Female,Political Science / International Affairs,Caucasian,Meet new people,No,Not satisfied at all,Too much,Too many
10,11,27.0,Male,Business / Econ / Finance,Caucasian,For fun,No,Satisfied,Too much,Unknown
11,12,22.0,Male,Law,Caucasian,For fun,No,Unknown,Unknown,Unknown
12,13,22.0,Male,Law,Asian,Meet new people,Yes,Very satisfied,Just right,Too few
13,14,23.0,Male,Law,Caucasian,Meet new people,Yes,Satisfied,Just right,Unknown
14,15,24.0,Male,Law,Hispanic,For fun,Yes,Very satisfied,Too much,Too few
15,16,25.0,Male,Business / Econ / Finance,Caucasian,For fun,No,Satisfied,Too much,Too few
16,17,30.0,Male,Political Science / International Affairs,Caucasian,Get a date,No,Neutral,Just right,Too many
17,18,27.0,Male,Business / Econ / Finance,Caucasian,For fun,No,Neutral,Too much,Too few
18,19,28.0,Male,Business / Econ / Finance,Caucasian,Serious relationship,Yes,Unknown,Unknown,Unknown
19,20,24.0,Male,Business / Econ / Finance,Caucasian,For fun,No,Unknown,Unknown,Unknown
20,21,21.0,Female,Engineering,Asian,Other,No,Satisfied,Just right,Just right
21,22,27.0,Female,"Education, Academia",African American,For fun,No,Satisfied,Just right,Just right
22,23,21.0,Female,"Social Science, Psychologist",Asian,For fun,No,Satisfied,Too much,Too many
23,24,27.0,Female,Social Work,Caucasian,Meet new people,No,Not satisfied,Just right,Too many
24,25,25.0,Female,Social Work,Caucasian,For fun,No,Not satisfied,Too little,Too many
25,26,23.0,Female,Social Work,Caucasian,For fun,No,Unknown,Unknown,Unknown
26,27,22.0,Female,"Social Science, Psychologist",Hispanic,For fun,No,Not satisfied,Too little,Too many
27,28,26.0,Female,"Social Science, Psychologist",Caucasian,Other,No,Unknown,Unknown,Unknown
28,29,22.0,Female,Social Work,Caucasian,For fun,No,Satisfied,Just right,Too many
29,30,23.0,Female,Law,Caucasian,For fun,No,Not satisfied,Too little,Just right
30,31,24.0,Female,Law,Caucasian,For fun,No,Not satisfied,Too little,Too few
31,32,27.0,Female,"Social Science, Psychologist",Asian,For fun,No,Neutral,Just right,Too many
32,33,30.0,Female,"Social Science, Psychologist",Caucasian,Other,No,Neutral,Just right,Too many
33,34,21.0,Female,Business / Econ / Finance,Asian,For fun,No,Satisfied,Too little,Too many
34,35,25.0,Female,Math,Caucasian,For fun,No,Satisfied,Too little,Too many
35,36,26.0,Female,Math,Caucasian,Meet new people,No,Not satisfied,Too little,Just right
36,37,27.0,Female,"Social Science, Psychologist",Caucasian,Meet new people,No,Satisfied,Too little,Too many
37,38,23.0,Female,Law,African American,For fun,No,Not satisfied at all,Too little,Too many
38,39,24.0,Female,Law,Hispanic,To say I did it,No,Not satisfied,Too little,Too many
39,40,25.0,Male,Other,Asian,Meet new people,No,Not satisfied at all,Too little,Too many
40,41,30.0,Male,Law,Asian,Meet new people,No,Neutral,Just right,Just right
41,42,23.0,Male,Engineering,Asian,Meet new people,No,Very satisfied,Just right,Just right
42,43,24.0,Male,Business / Econ / Finance,Caucasian,Other,No,Neutral,Too little,Too many
43,44,24.0,Male,"Social Science, Psychologist",Caucasian,For fun,No,Satisfied,Too little,Too many
44,45,28.0,Male,Business / Econ / Finance,Caucasian,Meet new people,No,Satisfied,Just right,Just right
45,46,26.0,Male,Business / Econ / Finance,Caucasian,Meet new people,No,Very satisfied,Just right,Too many
46,47,30.0,Male,Business / Econ / Finance,Caucasian,For fun,No,Neutral,Just right,Too many
47,48,22.0,Male,Undergrad / undecided,Caucasian,For fun,No,Satisfied,Just right,Too many
48,49,25.0,Male,Business / Econ / Finance,Asian,For fun,No,Satisfied,Just right,Just right
49,50,27.0,Male,Law,African American,Other,No,Satisfied,Too little,Too many
50,51,23.0,Male,Law,Caucasian,For fun,No,Neutral,Too little,Too many
51,52,21.0,Male,Law,Caucasian,For fun,No,Not satisfied,Too little,Too many
52,53,28.0,Male,"Medical Science, Pharmaceuticals and Bio Tech",Caucasian,Meet new people,No,Very satisfied,Just right,Just right
53,54,28.0,Male,Business / Econ / Finance,Caucasian,To say I did it,No,Satisfied,Just right,Too many
54,55,23.0,Male,Law,African American,Other,No,Very satisfied,Too little,Just right
55,56,23.0,Female,Social Work,Caucasian,For fun,No,Not satisfied at all,Just right,Just right
56,57,22.0,Female,Social Work,Caucasian,Get a date,No,Not satisfied,Just right,Just right
57,58,26.0,Female,Other,Other,Other,No,Satisfied,Too little,Too many
58,59,26.0,Female,Other,Other,Other,No,Unknown,Unknown,Unknown
59,60,29.0,Female,"Social Science, Psychologist",Other,Serious relationship,Yes,Unknown,Unknown,Unknown
60,61,28.0,Female,History / Religion / Philosophy,Caucasian,For fun,No,Neutral,Just right,Too many
61,62,26.0,Female,Law,Hispanic,Meet new people,No,Neutral,Just right,Too many
62,63,24.0,Female,Law,Asian,Get a date,No,Not satisfied,Just right,Just right
63,64,27.0,Female,Social Work,Asian,Meet new people,No,Neutral,Too little,Too many
64,65,23.0,Female,Social Work,Other,Meet new people,No,Neutral,Too little,Too few
65,66,29.0,Male,Business / Econ / Finance,Hispanic,Meet new people,No,Not satisfied,Too little,Just right
66,67,22.0,Male,Law,Other,Other,No,Not satisfied,Too little,Too few
67,68,27.0,Male,English / Creative Writing / Journalisim,African American,To say I did it,No,Not satisfied,Too little,Too many
68,69,28.0,Male,Business / Econ / Finance,Caucasian,Other,Yes,Not satisfied,Too little,Too few
69,70,26.0,Male,Business / Econ / Finance,Caucasian,To say I did it,Yes,Satisfied,Just right,Too many
70,71,21.0,Male,Law,Caucasian,To say I did it,No,Satisfied,Just right,Too many
71,72,22.0,Male,Engineering,Caucasian,To say I did it,No,Satisfied,Too little,Just right
72,73,22.0,Male,Business / Econ / Finance,Caucasian,Other,No,Not satisfied at all,Too little,Too many
73,74,25.0,Male,Engineering,Caucasian,To say I did it,No,Very satisfied,Too little,Too many
74,75,24.0,Male,Law,Other,Other,No,Not satisfied,Just right,Just right
75,76,34.0,Female,English / Creative Writing / Journalisim,Caucasian,Meet new people,Yes,Satisfied,Too little,Too many
76,77,22.0,Female,Social Work,Caucasian,For fun,Yes,Satisfied,Just right,Too many
77,78,23.0,Female,Social Work,Hispanic,Meet new people,No,Very satisfied,Too little,Too many
78,79,26.0,Female,Engineering,Asian,Meet new people,No,Unknown,Unknown,Unknown
79,80,27.0,Female,Biological Sciences / Chemistry/ Physics,Asian,For fun,No,Satisfied,Too little,Too many
80,81,28.0,Female,English / Creative Writing / Journalisim,Caucasian,To say I did it,No,Satisfied,Too little,Just right
81,82,25.0,Female,"Education, Academia",Other,For fun,Yes,Satisfied,Too little,Too many
82,83,35.0,Female,Business / Econ / Finance,Hispanic,Meet new people,No,Not satisfied at all,Just right,Just right
83,84,32.0,Female,Biological Sciences / Chemistry/ Physics,Hispanic,Meet new people,No,Not satisfied,Just right,Too many
84,85,30.0,Female,Social Work,Caucasian,Meet new people,No,Satisfied,Too little,Just right
85,86,22.0,Female,"Social Science, Psychologist",Caucasian,Meet new people,No,Not satisfied,Too little,Too many
86,87,23.0,Female,Social Work,Caucasian,For fun,No,Not satisfied at all,Just right,Too many
87,88,23.0,Female,Social Work,Caucasian,For fun,No,Not satisfied at all,Just right,Just right
88,89,27.0,Female,Business / Econ / Finance,Caucasian,For fun,No,Not satisfied at all,Just right,Just right
89,90,23.0,Female,Biological Sciences / Chemistry/ Physics,Asian,Meet new people,No,Satisfied,Too little,Too many
90,91,25.0,Female,Law,Other,For fun,No,Satisfied,Just right,Just right
91,92,29.0,Female,"Education, Academia",Caucasian,To say I did it,No,Satisfied,Too little,Too many
92,93,29.0,Female,Engineering,Caucasian,For fun,No,Satisfied,Too little,Too many
93,94,28.0,Male,Business / Econ / Finance,Asian,Meet new people,Yes,Satisfied,Too little,Too many
94,95,26.0,Male,Business / Econ / Finance,Caucasian,For fun,No,Neutral,Too little,Too many
95,96,26.0,Male,Engineering,Hispanic,For fun,No,Satisfied,Too little,Too many
96,97,29.0,Male,Biological Sciences / Chemistry/ Physics,Caucasian,Meet new people,No,Neutral,Just right,Just right
97,98,39.0,Male,Social Work,Caucasian,Serious relationship,No,Very satisfied,Too little,Too many
98,99,28.0,Male,Law,Caucasian,Get a date,No,Neutral,Too much,Too many
99,100,30.0,Male,Business / Econ / Finance,Other,For fun,No,Very satisfied,Too little,Too many
100,101,22.0,Male,Business / Econ / Finance,Asian,Get a date,No,Very satisfied,Too little,Too many
101,102,32.0,Male,Biological Sciences / Chemistry/ Physics,Caucasian,For fun,No,Very satisfied,Too little,Just right
102,103,26.0,Male,Business / Econ / Finance,Caucasian,Meet new people,No,Satisfied,Just right,Just right
103,104,27.0,Male,Biological Sciences / Chemistry/ Physics,Caucasian,Meet new people,No,Very satisfied,Too little,Just right
104,105,25.0,Male,Law,African American,Meet new people,Yes,Satisfied,Too little,Just right
105,106,22.0,Male,Law,Hispanic,To say I did it,No,Very satisfied,Just right,Just right
106,107,21.0,Male,History / Religion / Philosophy,Caucasian,For fun,Yes,Very satisfied,Too little,Just right
107,108,24.0,Male,Engineering,Caucasian,For fun,No,Satisfied,Too little,Too many
108,109,25.0,Male,Film,Asian,For fun,Yes,Satisfied,Too little,Too many
109,110,28.0,Male,Film,Caucasian,Meet new people,Yes,Satisfied,Too little,Too many
110,111,27.0,Male,Business / Econ / Finance,Asian,To say I did it,No,Unknown,Unknown,Unknown
111,112,20.0,Female,"Social Science, Psychologist",Other,For fun,Yes,Neutral,Too little,Too many
112,113,21.0,Female,Business / Econ / Finance,Caucasian,For fun,No,Satisfied,Just right,Just right
113,114,20.0,Female,Business / Econ / Finance,African American,Meet new people,No,Not satisfied,Just right,Too many
114,115,21.0,Female,"Social Science, Psychologist",Caucasian,For fun,No,Satisfied,Just right,Too many
115,116,21.0,Female,Political Science / International Affairs,Caucasian,For fun,Yes,Satisfied,Just right,Just right
116,117,21.0,Female,Business / Econ / Finance,Caucasian,For fun,No,Neutral,Just right,Too few
117,119,19.0,Female,Languages,Hispanic,For fun,No,Neutral,Too little,Just right
118,120,20.0,Female,English / Creative Writing / Journalisim,Hispanic,To say I did it,Yes,Not satisfied at all,Too little,Too many
119,121,21.0,Female,"Social Science, Psychologist",Caucasian,To say I did it,No,Not satisfied,Too little,Just right
120,122,22.0,Male,Law,Other,For fun,Yes,Neutral,Just right,Just right
121,123,18.0,Male,Engineering,Asian,Meet new people,No,Neutral,Too little,Too many
122,124,22.0,Male,Business / Econ / Finance,Asian,Meet new people,No,Satisfied,Too little,Just right
123,125,21.0,Male,"Medical Science, Pharmaceuticals and Bio Tech",Caucasian,For fun,Yes,Satisfied,Just right,Too many
124,126,22.0,Male,History / Religion / Philosophy,Caucasian,Serious relationship,Yes,Satisfied,Too little,Just right
125,127,22.0,Male,Engineering,Caucasian,Other,Yes,Neutral,Too little,Just right
126,128,21.0,Male,Engineering,Caucasian,For fun,Yes,Neutral,Too little,Too many
127,129,26.0,Male,Business / Econ / Finance,Caucasian,Get a date,Yes,Satisfied,Just right,Just right
128,130,20.0,Male,Engineering,Asian,For fun,No,Not satisfied,Too little,Too many
129,131,19.0,Male,Engineering,Asian,Meet new people,No,Unknown,Unknown,Unknown
130,132,27.0,Female,Business / Econ / Finance,Caucasian,For fun,No,Satisfied,Too little,Too few
131,133,24.0,Female,Engineering,Asian,For fun,No,Satisfied,Too little,Too few
132,134,23.0,Female,Biological Sciences / Chemistry/ Physics,Caucasian,For fun,Yes,Satisfied,Too little,Too few
133,135,26.0,Female,"Social Science, Psychologist",Caucasian,For fun,No,Satisfied,Just right,Just right
134,136,26.0,Female,Other,Other,Other,No,Unknown,Unknown,Unknown
135,137,26.0,Male,Business / Econ / Finance,Asian,For fun,No,Unknown,Unknown,Unknown
136,138,32.0,Male,Business / Econ / Finance,Caucasian,For fun,No,Not satisfied,Too little,Too few
137,139,37.0,Male,Engineering,Asian,For fun,No,Satisfied,Too little,Too few
138,140,29.0,Male,Business / Econ / Finance,Caucasian,For fun,Yes,Satisfied,Too little,Just right
139,141,28.0,Male,Business / Econ / Finance,Hispanic,For fun,No,Neutral,Just right,Just right
140,142,24.0,Female,Political Science / International Affairs,Caucasian,For fun,No,Very satisfied,Just right,Just right
141,143,33.0,Female,Law,Caucasian,Meet new people,No,Neutral,Too little,Too many
142,144,23.0,Female,Biological Sciences / Chemistry/ Physics,Caucasian,For fun,No,Neutral,Just right,Just right
143,145,24.0,Female,Biological Sciences / Chemistry/ Physics,Caucasian,Meet new people,No,Neutral,Just right,Just right
144,146,36.0,Female,English / Creative Writing / Journalisim,Caucasian,Serious relationship,No,Unknown,Unknown,Unknown
145,147,26.0,Female,Business / Econ / Finance,Asian,To say I did it,No,Not satisfied,Just right,Too many
146,148,27.0,Female,Business / Econ / Finance,Asian,To say I did it,No,Unknown,Unknown,Unknown
147,149,28.0,Female,Political Science / International Affairs,Caucasian,For fun,No,Satisfied,Too little,Just right
148,150,31.0,Female,History / Religion / Philosophy,Caucasian,Serious relationship,No,Satisfied,Too little,Too many
149,151,28.0,Female,Political Science / International Affairs,Caucasian,Get a date,No,Neutral,Too little,Too few
150,152,27.0,Female,Political Science / International Affairs,Asian,For fun,No,Not satisfied,Just right,Just right
151,153,28.0,Female,History / Religion / Philosophy,Asian,Meet new people,No,Neutral,Too little,Just right
152,154,27.0,Female,Business / Econ / Finance,Caucasian,Other,No,Unknown,Unknown,Unknown
153,155,27.0,Female,Business / Econ / Finance,Caucasian,Meet new people,No,Satisfied,Too little,Too many
154,156,30.0,Female,Business / Econ / Finance,African American,Meet new people,No,Very satisfied,Just right,Just right
155,157,28.0,Female,Business / Econ / Finance,Asian,For fun,No,Not satisfied at all,Too much,Too many
156,158,23.0,Male,Biological Sciences / Chemistry/ Physics,Caucasian,Serious relationship,No,Very satisfied,Too little,Too many
157,159,28.0,Male,Biological Sciences / Chemistry/ Physics,Caucasian,For fun,Yes,Very satisfied,Too little,Too many
158,160,29.0,Male,Business / Econ / Finance,African American,Meet new people,No,Satisfied,Just right,Just right
159,161,22.0,Male,Biological Sciences / Chemistry/ Physics,Caucasian,Meet new people,No,Not satisfied,Too little,Just right
160,162,27.0,Male,Biological Sciences / Chemistry/ Physics,Asian,Meet new people,No,Neutral,Too little,Just right
161,163,26.0,Male,"Education, Academia",Caucasian,Serious relationship,No,Satisfied,Just right,Too many
162,164,27.0,Male,History / Religion / Philosophy,Caucasian,For fun,No,Satisfied,Just right,Just right
163,165,30.0,Male,Political Science / International Affairs,Caucasian,Get a date,No,Very satisfied,Too little,Too many
164,166,26.0,Male,Business / Econ / Finance,Other,To say I did it,No,Not satisfied at all,Just right,Too many
165,167,23.0,Male,Biological Sciences / Chemistry/ Physics,Caucasian,Meet new people,Yes,Satisfied,Too little,Just right
166,168,23.0,Male,Biological Sciences / Chemistry/ Physics,Asian,For fun,Yes,Unknown,Unknown,Unknown
167,169,28.0,Male,Biological Sciences / Chemistry/ Physics,Caucasian,Meet new people,Yes,Satisfied,Too little,Too few
168,170,28.0,Male,Biological Sciences / Chemistry/ Physics,Asian,For fun,No,Satisfied,Too little,Too many
169,171,29.0,Male,Business / Econ / Finance,Caucasian,For fun,Yes,Satisfied,Too little,Just right
170,172,27.0,Male,Business / Econ / Finance,Caucasian,For fun,Yes,Neutral,Too little,Too many
171,173,22.0,Male,Math,Caucasian,For fun,Yes,Satisfied,Just right,Just right
172,174,29.0,Female,Business / Econ / Finance,Asian,Serious relationship,Yes,Satisfied,Too little,Just right
173,175,23.0,Female,Political Science / International Affairs,Other,Meet new people,No,Neutral,Just right,Too few
174,176,28.0,Female,Business / Econ / Finance,Asian,Meet new people,Yes,Not satisfied,Just right,Too few
175,177,22.0,Female,Political Science / International Affairs,Caucasian,Meet new people,No,Satisfied,Just right,Too few
176,178,35.0,Female,"Social Science, Psychologist",Asian,Meet new people,No,Satisfied,Just right,Just right
177,179,30.0,Female,English / Creative Writing / Journalisim,Hispanic,For fun,No,Not satisfied at all,Too little,Just right
178,180,24.0,Female,Business / Econ / Finance,Asian,Other,Yes,Satisfied,Too little,Too few
179,181,22.0,Female,"Medical Science, Pharmaceuticals and Bio Tech",African American,For fun,No,Satisfied,Too little,Too many
180,182,22.0,Female,"Medical Science, Pharmaceuticals and Bio Tech",African American,For fun,No,Satisfied,Too little,Just right
181,183,24.0,Female,Social Work,Caucasian,For fun,Yes,Neutral,Just right,Just right
182,184,34.0,Male,Business / Econ / Finance,Caucasian,Meet new people,Yes,Very satisfied,Just right,Just right
183,185,25.0,Male,Math,Asian,For fun,No,Satisfied,Just right,Too many
184,186,24.0,Male,Engineering,Asian,For fun,No,Satisfied,Just right,Just right
185,187,26.0,Male,Business / Econ / Finance,Caucasian,Meet new people,Yes,Not satisfied,Just right,Just right
186,188,21.0,Male,Engineering,Caucasian,Meet new people,No,Not satisfied,Too little,Too few
187,189,27.0,Male,Law,Other,For fun,No,Not satisfied,Just right,Just right
188,190,25.0,Male,Political Science / International Affairs,Caucasian,Meet new people,No,Satisfied,Just right,Just right
189,191,28.0,Male,Business / Econ / Finance,Caucasian,To say I did it,No,Neutral,Just right,Just right
190,192,24.0,Male,Business / Econ / Finance,Caucasian,For fun,No,Unknown,Unknown,Unknown
191,193,25.0,Male,Law,Asian,For fun,No,Not satisfied,Just right,Too few
192,194,24.0,Female,"Social Science, Psychologist",Caucasian,Get a date,No,Satisfied,Too little,Just right
193,195,27.0,Female,Biological Sciences / Chemistry/ Physics,Caucasian,For fun,No,Very satisfied,Just right,Just right
194,196,25.0,Female,History / Religion / Philosophy,Asian,For fun,Yes,Not satisfied at all,Just right,Just right
195,197,24.0,Female,Political Science / International Affairs,Other,For fun,No,Not satisfied,Just right,Too many
196,198,23.0,Female,Political Science / International Affairs,Asian,Meet new people,No,Unknown,Unknown,Unknown
197,199,30.0,Female,History / Religion / Philosophy,Caucasian,Serious relationship,No,Satisfied,Just right,Too many
198,200,25.0,Female,Business / Econ / Finance,Caucasian,For fun,No,Satisfied,Too little,Too many
199,201,25.0,Female,Business / Econ / Finance,Caucasian,For fun,No,Neutral,Too little,Too many
200,202,22.0,Female,Math,Caucasian,Meet new people,No,Neutral,Just right,Too many
201,203,22.0,Female,Math,Caucasian,Other,No,Neutral,Just right,Too many
202,204,26.0,Female,Business / Econ / Finance,Caucasian,Get a date,No,Not satisfied,Too little,Just right
203,205,23.0,Female,Biological Sciences / Chemistry/ Physics,Caucasian,For fun,No,Very satisfied,Just right,Just right
204,206,31.0,Female,Business / Econ / Finance,African American,For fun,No,Unknown,Unknown,Unknown
205,207,23.0,Female,Biological Sciences / Chemistry/ Physics,Caucasian,For fun,No,Not satisfied,Just right,Just right
206,208,25.0,Female,Biological Sciences / Chemistry/ Physics,African American,Meet new people,No,Neutral,Too little,Too many
207,209,28.0,Female,Political Science / International Affairs,African American,Get a date,No,Unknown,Unknown,Unknown
208,210,29.0,Female,Biological Sciences / Chemistry/ Physics,Caucasian,Meet new people,Yes,Not satisfied,Too little,Too many
209,211,28.0,Female,Political Science / International Affairs,Caucasian,Meet new people,No,Not satisfied at all,Just right,Too many
210,212,27.0,Female,Business / Econ / Finance,Hispanic,For fun,No,Satisfied,Too little,Too many
211,213,25.0,Female,Political Science / International Affairs,Hispanic,Meet new people,No,Not satisfied,Just right,Just right
212,214,23.0,Male,Biological Sciences / Chemistry/ Physics,Caucasian,For fun,No,Very satisfied,Just right,Just right
213,215,26.0,Male,Business / Econ / Finance,Asian,For fun,No,Satisfied,Too little,Too many
214,216,27.0,Male,Business / Econ / Finance,Caucasian,Meet new people,No,Satisfied,Too little,Just right
215,217,26.0,Male,Biological Sciences / Chemistry/ Physics,Caucasian,To say I did it,No,Satisfied,Just right,Just right
216,218,24.0,Male,Biological Sciences / Chemistry/ Physics,Caucasian,For fun,No,Not satisfied,Just right,Too many
217,219,26.0,Male,Business / Econ / Finance,Caucasian,For fun,No,Satisfied,Too little,Just right
218,220,25.0,Male,Political Science / International Affairs,Other,For fun,No,Very satisfied,Too little,Too few
219,221,27.0,Male,Business / Econ / Finance,Asian,Meet new people,Yes,Neutral,Too little,Too many
220,222,27.0,Male,Math,Caucasian,Meet new people,No,Neutral,Too little,Too many
221,223,28.0,Male,History / Religion / Philosophy,Caucasian,Meet new people,No,Satisfied,Just right,Just right
222,224,32.0,Male,"Social Science, Psychologist",Caucasian,Other,No,Unknown,Unknown,Unknown
223,225,28.0,Male,Business / Econ / Finance,Hispanic,For fun,No,Satisfied,Too little,Just right
224,226,23.0,Male,Business / Econ / Finance,Caucasian,Meet new people,No,Satisfied,Just right,Too many
225,227,26.0,Male,Business / Econ / Finance,Caucasian,Meet new people,No,Neutral,Too little,Too many
226,228,24.0,Male,Biological Sciences / Chemistry/ Physics,Asian,Get a date,No,Satisfied,Too little,Too many
227,229,28.0,Male,Biological Sciences / Chemistry/ Physics,Caucasian,For fun,No,Not satisfied,Too little,Just right
228,230,42.0,Male,Political Science / International Affairs,Caucasian,Meet new people,No,Satisfied,Too little,Just right
229,231,30.0,Male,Political Science / International Affairs,Hispanic,For fun,No,Neutral,Too little,Too few
230,232,31.0,Male,Political Science / International Affairs,Caucasian,Meet new people,No,Very satisfied,Too little,Just right
231,233,29.0,Male,Political Science / International Affairs,Asian,For fun,No,Very satisfied,Too little,Just right
232,234,22.0,Female,"Social Science, Psychologist",Other,Get a date,No,Neutral,Too little,Just right
233,235,23.0,Female,"Education, Academia",Caucasian,For fun,Yes,Not satisfied,Too little,Just right
234,236,24.0,Female,Biological Sciences / Chemistry/ Physics,Asian,Meet new people,No,Satisfied,Just right,Just right
235,237,34.0,Female,History / Religion / Philosophy,Caucasian,Get a date,No,Satisfied,Too little,Just right
236,238,27.0,Female,Fine Arts / Arts Administration,Caucasian,For fun,No,Satisfied,Too little,Just right
237,239,34.0,Female,Biological Sciences / Chemistry/ Physics,Caucasian,Meet new people,No,Satisfied,Too little,Too few
238,240,26.0,Female,Business / Econ / Finance,Asian,For fun,No,Not satisfied,Just right,Too few
239,241,29.0,Female,Business / Econ / Finance,Asian,Meet new people,Yes,Satisfied,Just right,Just right
240,242,26.0,Female,"Social Science, Psychologist",Hispanic,Get a date,Yes,Satisfied,Just right,Just right
241,243,27.0,Male,Languages,Caucasian,Meet new people,No,Satisfied,Too little,Just right
242,244,28.0,Male,Business / Econ / Finance,Caucasian,Meet new people,No,Satisfied,Too little,Just right
243,245,32.0,Male,History / Religion / Philosophy,Caucasian,Serious relationship,No,Not satisfied,Too little,Too few
244,246,25.0,Male,Biological Sciences / Chemistry/ Physics,Caucasian,For fun,No,Not satisfied,Just right,Too few
245,247,25.0,Male,Biological Sciences / Chemistry/ Physics,Asian,For fun,No,Neutral,Too little,Too few
246,248,27.0,Male,Business / Econ / Finance,Other,For fun,No,Satisfied,Just right,Just right
247,249,33.0,Male,Business / Econ / Finance,Other,Meet new people,No,Very satisfied,Too little,Just right
248,250,25.0,Male,English / Creative Writing / Journalisim,Other,Serious relationship,No,Satisfied,Too little,Too few
249,251,33.0,Male,History / Religion / Philosophy,Other,Other,No,Satisfied,Just right,Just right
250,252,28.0,Female,Political Science / International Affairs,Hispanic,For fun,No,Not satisfied,Too little,Too many
251,253,33.0,Female,"Social Science, Psychologist",Asian,Meet new people,No,Very satisfied,Too little,Just right
252,254,22.0,Female,History / Religion / Philosophy,Caucasian,Meet new people,No,Unknown,Unknown,Unknown
253,255,26.0,Female,Biological Sciences / Chemistry/ Physics,Asian,For fun,No,Neutral,Too little,Too many
254,256,24.0,Female,"Medical Science, Pharmaceuticals and Bio Tech",Asian,Meet new people,No,Neutral,Too little,Just right
255,257,24.0,Female,"Education, Academia",Caucasian,Meet new people,No,Not satisfied at all,Just right,Too many
256,258,25.0,Female,"Education, Academia",Other,For fun,No,Very satisfied,Just right,Too many
257,259,25.0,Female,Biological Sciences / Chemistry/ Physics,Caucasian,Meet new people,No,Neutral,Too little,Too many
258,260,27.0,Female,Biological Sciences / Chemistry/ Physics,Asian,Meet new people,No,Satisfied,Just right,Just right
259,261,26.0,Female,Biological Sciences / Chemistry/ Physics,Asian,For fun,No,Not satisfied,Too little,Just right
260,262,29.0,Female,"Social Science, Psychologist",Caucasian,Other,No,Satisfied,Just right,Too many
261,263,26.0,Female,"Social Science, Psychologist",African American,For fun,No,Neutral,Just right,Too many
262,264,26.0,Female,English / Creative Writing / Journalisim,Caucasian,For fun,No,Neutral,Just right,Just right
263,265,32.0,Female,Law,Caucasian,Serious relationship,No,Not satisfied at all,Too little,Too many
264,266,28.0,Female,Languages,Caucasian,Meet new people,No,Not satisfied,Just right,Too many
265,267,26.0,Female,Biological Sciences / Chemistry/ Physics,Asian,For fun,No,Not satisfied at all,Too little,Too many
266,268,24.0,Female,"Medical Science, Pharmaceuticals and Bio Tech",Hispanic,To say I did it,Yes,Satisfied,Too little,Too many
267,269,24.0,Female,History / Religion / Philosophy,Caucasian,Meet new people,No,Not satisfied at all,Just right,Just right
268,270,23.0,Female,Biological Sciences / Chemistry/ Physics,Asian,Meet new people,No,Satisfied,Too little,Too many
269,271,23.0,Female,Social Work,Caucasian,Meet new people,No,Satisfied,Just right,Too many
270,272,25.0,Female,Social Work,Caucasian,Meet new people,No,Satisfied,Just right,Too many
271,273,29.0,Male,Biological Sciences / Chemistry/ Physics,Caucasian,Meet new people,No,Very satisfied,Too little,Too many
272,274,24.0,Male,"Social Science, Psychologist",Hispanic,Get a date,Yes,Very satisfied,Too little,Too many
273,275,21.0,Male,Engineering,Caucasian,Meet new people,No,Satisfied,Too little,Too many
