,iid,age,gender,field_of_study,ethnic_group,goal,match,satis_2,length,speed_date_nb
274,276,26.0,Male,Biological Sciences / Chemistry/ Physics,Caucasian,Meet new people,No,Satisfied,Too little,Too many
275,277,25.0,Male,Biological Sciences / Chemistry/ Physics,Caucasian,For fun,No,Satisfied,Too little,Too many
276,278,32.0,Male,Engineering,Caucasian,For fun,No,Very satisfied,Too little,Too few
277,279,25.0,Male,Biological Sciences / Chemistry/ Physics,Caucasian,Get a date,No,Satisfied,Just right,Too many
278,280,25.0,Male,Biological Sciences / Chemistry/ Physics,Caucasian,Get a date,No,Unknown,Unknown,Unknown
279,281,27.0,Male,"Social Science, Psychologist",Caucasian,Other,No,Not satisfied,Just right,Just right
280,282,23.0,Male,Engineering,African American,For fun,No,Satisfied,Just right,Just right
281,283,27.0,Male,Engineering,Asian,For fun,No,Satisfied,Too little,Too many
282,284,27.0,Male,Business / Econ / Finance,Caucasian,For fun,No,Satisfied,Too little,Too many
283,285,24.0,Male,Engineering,Other,Serious relationship,No,Satisfied,Too little,Too many
284,286,22.0,Male,Math,Caucasian,For fun,No,Satisfied,Too little,Too many
285,287,22.0,Male,Political Science / International Affairs,Asian,For fun,No,Satisfied,Too little,Too few
286,288,27.0,Male,"Social Science, Psychologist",Caucasian,For fun,No,Not satisfied,Too little,Too many
287,289,28.0,Male,Business / Econ / Finance,Asian,For fun,No,Very satisfied,Just right,Just right
288,290,34.0,Male,Biological Sciences / Chemistry/ Physics,Caucasian,Meet new people,No,Neutral,Too little,Just right
289,291,27.0,Male,Biological Sciences / Chemistry/ Physics,Asian,For fun,Yes,Satisfied,Just right,Too few
290,292,28.0,Male,Political Science / International Affairs,African American,For fun,No,Satisfied,Too little,Too many
291,293,28.0,Male,Business / Econ / Finance,Hispanic,Meet new people,No,Not satisfied,Too little,Too many
292,294,30.0,Female,"Education, Academia",Asian,For fun,No,Satisfied,Too little,Too many
293,295,30.0,Female,"Education, Academia",Caucasian,Meet new people,No,Satisfied,Too little,Too many
294,296,28.0,Female,"Education, Academia",Caucasian,For fun,No,Satisfied,Just right,Too many
295,297,21.0,Female,"Education, Academia",Caucasian,Meet new people,Yes,Not satisfied at all,Just right,Just right
296,298,22.0,Female,English / Creative Writing / Journalisim,Caucasian,Meet new people,No,Satisfied,Just right,Just right
297,299,24.0,Female,Social Work,Asian,Meet new people,No,Satisfied,Too little,Just right
298,300,35.0,Female,"Social Science, Psychologist",Caucasian,Meet new people,No,Very satisfied,Too little,Too many
299,301,34.0,Female,"Education, Academia",Caucasian,Meet new people,No,Very satisfied,Just right,Just right
300,302,21.0,Female,"Social Science, Psychologist",Caucasian,Meet new people,No,Neutral,Just right,Just right
301,303,33.0,Female,"Education, Academia",Caucasian,Serious relationship,No,Satisfied,Too little,Too few
302,304,28.0,Female,"Social Science, Psychologist",Caucasian,For fun,No,Neutral,Just right,Just right
303,305,29.0,Female,"Education, Academia",Asian,For fun,No,Satisfied,Too little,Too many
304,306,22.0,Female,"Education, Academia",Asian,For fun,No,Satisfied,Too little,Just right
305,307,27.0,Female,"Education, Academia",Asian,To say I did it,No,Satisfied,Just right,Just right
306,308,27.0,Male,"Education, Academia",Asian,For fun,No,Very satisfied,Too little,Too few
307,309,32.0,Male,"Education, Academia",Caucasian,Get a date,No,Satisfied,Too little,Just right
308,310,25.0,Male,Engineering,Caucasian,For fun,No,Unknown,Unknown,Unknown
309,311,29.0,Male,Business / Econ / Finance,Asian,Meet new people,No,Satisfied,Too little,Too many
310,312,23.0,Male,Fine Arts / Arts Administration,Caucasian,Meet new people,No,Satisfied,Too little,Just right
311,313,27.0,Male,Business / Econ / Finance,Caucasian,For fun,No,Satisfied,Just right,Just right
312,314,32.0,Male,Political Science / International Affairs,Other,Meet new people,No,Very satisfied,Too little,Just right
313,315,27.0,Male,Engineering,Caucasian,Get a date,No,Unknown,Unknown,Unknown
314,316,25.0,Male,Business / Econ / Finance,Caucasian,Meet new people,Yes,Neutral,Too little,Too many
315,317,30.0,Male,Business / Econ / Finance,Caucasian,For fun,No,Neutral,Too little,Just right
316,318,29.0,Male,Business / Econ / Finance,Other,Meet new people,No,Unknown,Unknown,Unknown
317,319,26.0,Male,"Education, Academia",Caucasian,Other,No,Very satisfied,Too little,Just right
318,320,36.0,Male,History / Religion / Philosophy,Caucasian,Serious relationship,No,Not satisfied at all,Just right,Just right
319,321,29.0,Male,Business / Econ / Finance,Caucasian,For fun,No,Unknown,Unknown,Unknown
320,322,34.0,Female,"Social Science, Psychologist",Asian,Meet new people,No,Unknown,Unknown,Unknown
321,323,25.0,Female,Engineering,Asian,Meet new people,Yes,Satisfied,Just right,Just right
322,324,23.0,Female,"Social Science, Psychologist",Caucasian,For fun,Yes,Satisfied,Just right,Just right
323,325,30.0,Female,"Social Science, Psychologist",Hispanic,Meet new people,No,Satisfied,Too little,Too few
324,326,36.0,Female,"Education, Academia",African American,Meet new people,No,Satisfied,Too little,Just right
325,327,29.0,Female,Political Science / International Affairs,Caucasian,Meet new people,No,Neutral,Just right,Too few
326,328,30.0,Female,"Education, Academia",Caucasian,Meet new people,No,Not satisfied,Just right,Just right
327,329,29.0,Female,"Education, Academia",Caucasian,Other,No,Satisfied,Too little,Just right
328,330,22.0,Female,Engineering,Asian,For fun,No,Satisfied,Just right,Too many
329,331,34.0,Female,"Education, Academia",Caucasian,For fun,No,Unknown,Unknown,Unknown
330,332,30.0,Male,"Social Science, Psychologist",Asian,Get a date,No,Very satisfied,Too little,Just right
331,333,23.0,Male,Business / Econ / Finance,Caucasian,For fun,No,Satisfied,Too little,Just right
332,334,29.0,Male,Business / Econ / Finance,Asian,For fun,No,Satisfied,Too little,Just right
333,335,24.0,Male,"Social Science, Psychologist",Caucasian,For fun,No,Satisfied,Too little,Just right
334,336,25.0,Male,Architechture,Hispanic,For fun,No,Satisfied,Too little,Just right
335,337,28.0,Male,Engineering,Caucasian,For fun,Yes,Very satisfied,Just right,Just right
336,338,27.0,Male,Engineering,Other,For fun,No,Satisfied,Just right,Just right
337,339,26.0,Male,Other,Other,Other,Yes,Satisfied,Too little,Too many
338,340,26.0,Male,Other,Other,Other,No,Satisfied,Just right,Just right
339,341,23.0,Female,Political Science / International Affairs,Asian,For fun,No,Satisfied,Just right,Too many
340,342,33.0,Female,"Education, Academia",Hispanic,For fun,No,Very satisfied,Too little,Too many
341,343,32.0,Female,Biological Sciences / Chemistry/ Physics,Caucasian,Get a date,Yes,Satisfied,Too little,Too many
342,344,26.0,Female,Political Science / International Affairs,Hispanic,Get a date,No,Very satisfied,Just right,Too many
343,345,24.0,Female,Biological Sciences / Chemistry/ Physics,Caucasian,Meet new people,No,Neutral,Just right,Too many
344,346,26.0,Female,Other,Other,Other,No,Satisfied,Just right,Too many
345,347,26.0,Female,"Education, Academia",African American,To say I did it,No,Unknown,Unknown,Unknown
346,348,21.0,Female,"Education, Academia",Asian,Meet new people,No,Satisfied,Too little,Too many
347,349,33.0,Female,"Social Science, Psychologist",Caucasian,For fun,No,Not satisfied,Just right,Too many
348,350,31.0,Female,Biological Sciences / Chemistry/ Physics,Caucasian,Meet new people,No,Unknown,Unknown,Unknown
349,351,35.0,Female,"Education, Academia",Asian,Meet new people,No,Neutral,Just right,Just right
350,352,29.0,Female,"Education, Academia",Other,Meet new people,No,Very satisfied,Too little,Too few
351,353,25.0,Female,"Education, Academia",Asian,For fun,No,Unknown,Unknown,Unknown
352,354,22.0,Female,"Social Science, Psychologist",Caucasian,For fun,No,Satisfied,Too little,Just right
353,355,24.0,Female,"Social Science, Psychologist",Caucasian,For fun,No,Satisfied,Too little,Just right
354,356,27.0,Female,"Social Science, Psychologist",Caucasian,For fun,No,Satisfied,Too little,Just right
355,357,27.0,Female,"Education, Academia",Asian,For fun,No,Not satisfied,Just right,Too many
356,358,26.0,Female,Business / Econ / Finance,Asian,For fun,No,Unknown,Unknown,Unknown
357,359,26.0,Female,English / Creative Writing / Journalisim,Caucasian,Meet new people,No,Satisfied,Too little,Just right
358,360,24.0,Female,"Social Science, Psychologist",Other,Meet new people,No,Very satisfied,Too little,Too many
359,361,34.0,Male,Law,Caucasian,Meet new people,No,Satisfied,Just right,Just right
360,362,30.0,Male,Law,Caucasian,For fun,No,Very satisfied,Just right,Too many
361,363,23.0,Male,Engineering,Asian,Get a date,No,Satisfied,Too little,Too many
362,364,27.0,Male,Business / Econ / Finance,Hispanic,Get a date,No,Satisfied,Too little,Too many
363,365,30.0,Male,Business / Econ / Finance,Caucasian,For fun,No,Neutral,Too little,Too many
364,366,27.0,Male,Business / Econ / Finance,Caucasian,For fun,Yes,Very satisfied,Too little,Too many
365,367,27.0,Male,Political Science / International Affairs,Caucasian,Get a date,No,Satisfied,Too little,Too many
366,368,24.0,Male,Political Science / International Affairs,Other,For fun,Yes,Satisfied,Just right,Just right
367,369,25.0,Male,"Social Science, Psychologist",Caucasian,Meet new people,No,Very satisfied,Too little,Too many
368,370,28.0,Male,Business / Econ / Finance,Caucasian,Get a date,No,Satisfied,Just right,Too many
369,371,27.0,Male,Business / Econ / Finance,Caucasian,To say I did it,Yes,Not satisfied,Just right,Too many
370,372,27.0,Male,Business / Econ / Finance,Caucasian,Meet new people,No,Neutral,Too little,Too many
371,373,29.0,Male,Business / Econ / Finance,Hispanic,Meet new people,No,Satisfied,Too little,Too many
372,374,30.0,Male,Business / Econ / Finance,Asian,Meet new people,No,Satisfied,Too little,Too many
373,375,27.0,Male,Business / Econ / Finance,Caucasian,For fun,No,Not satisfied,Just right,Too many
374,376,25.0,Male,Business / Econ / Finance,Asian,Meet new people,No,Unknown,Unknown,Unknown
375,377,26.0,Male,Business / Econ / Finance,Asian,For fun,No,Neutral,Just right,Too many
376,378,29.0,Male,Business / Econ / Finance,Caucasian,Other,No,Not satisfied,Too little,Too many
377,379,38.0,Female,Business / Econ / Finance,Caucasian,Meet new people,No,Unknown,Unknown,Unknown
378,380,33.0,Female,Film,African American,Meet new people,No,Unknown,Unknown,Unknown
379,381,24.0,Female,Film,Caucasian,To say I did it,No,Neutral,Too little,Just right
380,382,28.0,Female,Film,Caucasian,Meet new people,No,Neutral,Just right,Just right
381,383,27.0,Female,"Education, Academia",Caucasian,Get a date,Yes,Very satisfied,Just right,Just right
382,384,23.0,Female,"Education, Academia",Caucasian,Meet new people,No,Satisfied,Too little,Just right
383,385,25.0,Female,"Education, Academia",Caucasian,Meet new people,No,Unknown,Unknown,Unknown
384,386,26.0,Female,"Social Science, Psychologist",Caucasian,Meet new people,Yes,Satisfied,Just right,Just right
385,387,25.0,Female,"Social Science, Psychologist",Caucasian,Meet new people,No,Very satisfied,Too little,Too many
386,388,24.0,Female,"Social Science, Psychologist",Caucasian,Meet new people,No,Not satisfied at all,Just right,Just right
387,389,21.0,Female,Law,Caucasian,Meet new people,No,Satisfied,Too little,Too many
388,390,30.0,Female,"Education, Academia",Asian,Other,No,Unknown,Unknown,Unknown
389,391,28.0,Female,English / Creative Writing / Journalisim,Caucasian,For fun,No,Not satisfied,Too little,Just right
390,392,26.0,Female,English / Creative Writing / Journalisim,Caucasian,To say I did it,No,Satisfied,Just right,Just right
391,393,22.0,Female,English / Creative Writing / Journalisim,Caucasian,For fun,Yes,Satisfied,Too little,Just right
392,394,24.0,Female,English / Creative Writing / Journalisim,Caucasian,Meet new people,No,Satisfied,Too little,Too many
393,395,33.0,Female,English / Creative Writing / Journalisim,Caucasian,Get a date,No,Neutral,Just right,Too many
394,396,25.0,Female,Fine Arts / Arts Administration,Asian,Meet new people,No,Satisfied,Too little,Too many
395,397,24.0,Male,Law,Caucasian,Meet new people,No,Very satisfied,Too little,Just right
396,398,29.0,Male,Business / Econ / Finance,Caucasian,Meet new people,No,Satisfied,Too little,Just right
397,399,29.0,Male,Business / Econ / Finance,Caucasian,Meet new people,No,Unknown,Unknown,Unknown
398,400,26.0,Male,Business / Econ / Finance,Caucasian,To say I did it,Yes,Unknown,Unknown,Unknown
399,401,31.0,Male,Business / Econ / Finance,Caucasian,Meet new people,No,Not satisfied at all,Just right,Just right
400,402,29.0,Male,Math,Asian,Get a date,Yes,Satisfied,Too little,Just right
401,403,22.0,Male,Engineering,Caucasian,To say I did it,No,Satisfied,Too little,Too many
402,404,23.0,Male,Engineering,Caucasian,Meet new people,No,Neutral,Too little,Just right
403,405,30.0,Male,Political Science / International Affairs,African American,Serious relationship,No,Satisfied,Too little,Just right
404,406,27.0,Male,Business / Econ / Finance,Asian,For fun,No,Satisfied,Just right,Just right
405,407,24.0,Male,Film,Caucasian,Get a date,No,Satisfied,Just right,Too few
406,408,24.0,Male,Political Science / International Affairs,Hispanic,Meet new people,No,Neutral,Just right,Too many
407,409,23.0,Male,Engineering,Caucasian,Meet new people,No,Not satisfied,Too little,Just right
408,410,27.0,Male,Business / Econ / Finance,Caucasian,For fun,No,Unknown,Unknown,Unknown
409,411,34.0,Male,Business / Econ / Finance,Caucasian,Get a date,No,Very satisfied,Too little,Just right
410,412,27.0,Male,Business / Econ / Finance,Caucasian,For fun,No,Satisfied,Just right,Too many
411,413,26.0,Male,Business / Econ / Finance,Caucasian,For fun,No,Very satisfied,Just right,Too many
412,414,29.0,Male,Business / Econ / Finance,Caucasian,Other,No,Unknown,Unknown,Unknown
413,415,31.0,Male,Business / Econ / Finance,Caucasian,For fun,No,Neutral,Just right,Just right
414,416,25.0,Female,"Social Science, Psychologist",Hispanic,Other,Yes,Neutral,Just right,Just right
415,417,29.0,Female,"Social Science, Psychologist",Caucasian,For fun,Yes,Satisfied,Too little,Too few
416,418,25.0,Female,Law,Asian,Other,No,Satisfied,Just right,Too few
417,419,28.0,Female,Social Work,Caucasian,Serious relationship,Yes,Unknown,Unknown,Unknown
418,420,22.0,Female,Social Work,Caucasian,To say I did it,Yes,Very satisfied,Just right,Just right
419,421,25.0,Female,Social Work,Asian,For fun,No,Neutral,Just right,Just right
420,422,26.0,Male,Business / Econ / Finance,Caucasian,Meet new people,Yes,Satisfied,Just right,Too few
421,423,30.0,Male,Business / Econ / Finance,Caucasian,Meet new people,Yes,Satisfied,Too little,Too few
422,424,24.0,Male,Engineering,Asian,Meet new people,Yes,Unknown,Unknown,Unknown
423,425,28.0,Male,Business / Econ / Finance,Caucasian,Meet new people,No,Unknown,Unknown,Unknown
424,426,24.0,Male,Business / Econ / Finance,Caucasian,Meet new people,Yes,Unknown,Unknown,Unknown
425,427,28.0,Male,Political Science / International Affairs,Caucasian,For fun,No,Unknown,Unknown,Unknown
426,428,27.0,Male,Business / Econ / Finance,Asian,Get a date,Yes,Satisfied,Just right,Too few
427,429,27.0,Male,Business / Econ / Finance,Caucasian,Meet new people,Yes,Satisfied,Too little,Just right
428,430,22.0,Female,"Education, Academia",Asian,For fun,No,Not satisfied,Too little,Too many
429,431,27.0,Female,"Education, Academia",Asian,Meet new people,No,Satisfied,Too little,Just right
430,432,28.0,Female,Social Work,Caucasian,Serious relationship,No,Very satisfied,Too little,Just right
431,433,30.0,Female,Fine Arts / Arts Administration,Other,Meet new people,No,Satisfied,Too little,Too many
432,434,27.0,Female,Social Work,Caucasian,For fun,No,Satisfied,Just right,Too many
433,435,22.0,Female,Law,African American,For fun,No,Not satisfied,Just right,Too many
434,436,23.0,Female,Law,Caucasian,For fun,No,Satisfied,Just right,Just right
435,437,23.0,Female,Social Work,Caucasian,For fun,No,Neutral,Too little,Just right
436,438,23.0,Female,Social Work,Caucasian,For fun,No,Very satisfied,Just right,Just right
437,439,29.0,Female,"Education, Academia",Caucasian,Meet new people,No,Unknown,Unknown,Unknown
438,440,21.0,Male,Law,Caucasian,For fun,No,Not satisfied,Too little,Too few
439,441,24.0,Male,Law,Caucasian,Meet new people,No,Satisfied,Too little,Just right
440,442,25.0,Male,Law,Caucasian,Serious relationship,No,Very satisfied,Just right,Too few
441,443,27.0,Male,Political Science / International Affairs,Hispanic,Meet new people,No,Satisfied,Too little,Too many
442,444,26.0,Male,Business / Econ / Finance,Caucasian,Meet new people,No,Neutral,Just right,Just right
443,445,30.0,Male,Political Science / International Affairs,Caucasian,Meet new people,No,Satisfied,Just right,Just right
444,446,28.0,Male,Business / Econ / Finance,Hispanic,For fun,No,Unknown,Unknown,Unknown
445,447,26.0,Male,Political Science / International Affairs,Asian,For fun,No,Not satisfied,Too little,Too many
446,448,22.0,Male,Law,Caucasian,For fun,No,Satisfied,Just right,Just right
447,449,23.0,Male,Law,Other,For fun,No,Very satisfied,Too little,Just right
448,450,25.0,Male,Political Science / International Affairs,Caucasian,Meet new people,No,Satisfied,Just right,Too few
449,451,30.0,Male,Business / Econ / Finance,Asian,Meet new people,No,Satisfied,Too little,Just right
450,452,29.0,Male,Business / Econ / Finance,Asian,For fun,No,Satisfied,Too little,Just right
451,453,27.0,Male,Law,Asian,Meet new people,No,Unknown,Unknown,Unknown
452,454,27.0,Female,Fine Arts / Arts Administration,Caucasian,Meet new people,No,Neutral,Too little,Too few
453,455,24.0,Female,Biological Sciences / Chemistry/ Physics,Asian,For fun,No,Neutral,Too little,Just right
454,456,29.0,Female,Business / Econ / Finance,Asian,Meet new people,Yes,Not satisfied,Too little,Too few
455,457,55.0,Female,English / Creative Writing / Journalisim,Asian,Other,No,Not satisfied,Too little,Just right
456,458,29.0,Female,Business / Econ / Finance,Asian,For fun,No,Not satisfied,Just right,Just right
457,459,26.0,Female,Business / Econ / Finance,Asian,For fun,No,Unknown,Unknown,Unknown
458,460,33.0,Male,History / Religion / Philosophy,Caucasian,For fun,No,Unknown,Unknown,Unknown
459,461,27.0,Male,Engineering,Other,For fun,No,Neutral,Just right,Too few
460,462,33.0,Male,Engineering,Asian,Serious relationship,No,Not satisfied at all,Too little,Too few
461,463,23.0,Male,Biological Sciences / Chemistry/ Physics,Asian,Meet new people,No,Neutral,Too little,Too many
462,464,33.0,Male,Business / Econ / Finance,Asian,For fun,No,Neutral,Too little,Too few
463,465,23.0,Male,History / Religion / Philosophy,Caucasian,Other,No,Unknown,Unknown,Unknown
464,466,24.0,Female,Other,Caucasian,Other,No,Not satisfied at all,Too little,Too many
465,467,24.0,Female,Business / Econ / Finance,Caucasian,Other,Yes,Not satisfied,Just right,Just right
466,468,25.0,Female,Political Science / International Affairs,Other,For fun,No,Neutral,Just right,Just right
467,469,25.0,Female,Political Science / International Affairs,Asian,Meet new people,No,Not satisfied,Too much,Too many
468,470,29.0,Female,"Medical Science, Pharmaceuticals and Bio Tech",Asian,For fun,No,Not satisfied at all,Just right,Too many
469,471,30.0,Female,"Medical Science, Pharmaceuticals and Bio Tech",Asian,Meet new people,No,Not satisfied at all,Just right,Too many
470,472,25.0,Female,Engineering,Hispanic,Meet new people,No,Neutral,Just right,Just right
471,473,34.0,Female,Biological Sciences / Chemistry/ Physics,Asian,Meet new people,No,Very satisfied,Just right,Just right
472,474,30.0,Female,Biological Sciences / Chemistry/ Physics,African American,For fun,No,Satisfied,Just right,Just right
473,475,27.0,Female,Political Science / International Affairs,Hispanic,For fun,No,Satisfied,Just right,Too many
474,476,25.0,Female,Political Science / International Affairs,Caucasian,To say I did it,No,Unknown,Unknown,Unknown
475,477,27.0,Female,Engineering,Hispanic,For fun,No,Very satisfied,Too little,Just right
476,478,26.0,Female,Political Science / International Affairs,Caucasian,For fun,No,Unknown,Unknown,Unknown
477,479,27.0,Female,Political Science / International Affairs,Caucasian,For fun,No,Unknown,Unknown,Unknown
478,480,26.0,Female,Engineering,Caucasian,For fun,No,Not satisfied,Just right,Just right
479,481,23.0,Male,"Education, Academia",Caucasian,Meet new people,No,Satisfied,Too little,Just right
480,482,30.0,Male,Business / Econ / Finance,Caucasian,Meet new people,No,Satisfied,Just right,Just right
481,483,28.0,Male,"Social Science, Psychologist",Caucasian,Other,No,Very satisfied,Too little,Just right
482,484,31.0,Male,Other,Asian,For fun,No,Very satisfied,Just right,Too many
483,485,29.0,Male,"Social Science, Psychologist",African American,Meet new people,No,Very satisfied,Too little,Just right
484,486,32.0,Male,Biological Sciences / Chemistry/ Physics,Hispanic,Get a date,No,Neutral,Too little,Just right
485,487,24.0,Male,English / Creative Writing / Journalisim,Asian,For fun,No,Neutral,Too little,Just right
486,488,29.0,Male,Business / Econ / Finance,Asian,Get a date,No,Satisfied,Just right,Just right
487,489,28.0,Male,Business / Econ / Finance,Caucasian,Get a date,No,Satisfied,Too little,Just right
488,490,29.0,Male,Film,Caucasian,Meet new people,No,Very satisfied,Too little,Just right
489,491,29.0,Male,Business / Econ / Finance,Hispanic,Meet new people,No,Very satisfied,Just right,Just right
490,492,30.0,Male,Biological Sciences / Chemistry/ Physics,Other,Meet new people,No,Satisfied,Just right,Too many
491,493,20.0,Male,Political Science / International Affairs,Asian,To say I did it,No,Very satisfied,Just right,Just right
492,494,30.0,Male,English / Creative Writing / Journalisim,Caucasian,Serious relationship,No,Satisfied,Too little,Just right
493,495,32.0,Male,Fine Arts / Arts Administration,Other,Meet new people,No,Satisfied,Too little,Too few
494,496,23.0,Female,Engineering,Asian,For fun,No,Not satisfied,Just right,Too few
495,497,24.0,Female,Biological Sciences / Chemistry/ Physics,Caucasian,For fun,No,Unknown,Unknown,Unknown
496,498,25.0,Female,Biological Sciences / Chemistry/ Physics,Caucasian,For fun,No,Unknown,Unknown,Unknown
497,499,26.0,Female,Biological Sciences / Chemistry/ Physics,Caucasian,To say I did it,No,Not satisfied,Just right,Too few
498,500,25.0,Female,Biological Sciences / Chemistry/ Physics,African American,For fun,No,Not satisfied,Just right,Too few
499,501,26.0,Female,Biological Sciences / Chemistry/ Physics,Caucasian,To say I did it,No,Neutral,Just right,Too few
500,502,26.0,Male,Engineering,Asian,For fun,No,Satisfied,Too little,Just right
501,503,25.0,Male,Biological Sciences / Chemistry/ Physics,Caucasian,To say I did it,No,Not satisfied,Too little,Just right
502,504,23.0,Male,Engineering,Caucasian,Meet new people,No,Not satisfied at all,Too little,Too few
503,505,27.0,Male,English / Creative Writing / Journalisim,Asian,Get a date,Yes,Unknown,Unknown,Unknown
504,506,24.0,Male,Math,Asian,For fun,No,Not satisfied at all,Too little,Too few
505,507,24.0,Male,Math,Asian,To say I did it,No,Not satisfied,Too little,Just right
506,508,36.0,Male,Math,Asian,Get a date,No,Satisfied,Too little,Too few
507,509,28.0,Female,English / Creative Writing / Journalisim,Asian,Meet new people,No,Neutral,Too little,Too many
508,510,26.0,Female,Business / Econ / Finance,Hispanic,Meet new people,No,Satisfied,Too little,Just right
509,511,23.0,Female,Engineering,Asian,Meet new people,No,Satisfied,Too little,Too many
510,512,26.0,Female,Fine Arts / Arts Administration,Caucasian,For fun,No,Satisfied,Just right,Too many
511,513,23.0,Female,Fine Arts / Arts Administration,Caucasian,Meet new people,No,Unknown,Unknown,Unknown
512,514,23.0,Female,"Social Science, Psychologist",Caucasian,Meet new people,No,Satisfied,Too little,Too many
513,515,23.0,Female,English / Creative Writing / Journalisim,Caucasian,For fun,No,Not satisfied at all,Too little,Too many
514,516,27.0,Female,Biological Sciences / Chemistry/ Physics,Asian,Meet new people,No,Not satisfied,Too little,Just right
515,517,30.0,Female,Fine Arts / Arts Administration,Hispanic,To say I did it,No,Not satisfied at all,Too little,Too many
516,518,23.0,Female,Fine Arts / Arts Administration,Caucasian,To say I did it,No,Satisfied,Just right,Too many
517,519,26.0,Female,"Education, Academia",Caucasian,Meet new people,No,Unknown,Unknown,Unknown
518,520,28.0,Female,Social Work,Other,For fun,No,Neutral,Just right,Too many
519,521,26.0,Female,Social Work,Caucasian,For fun,No,Satisfied,Too little,Too many
520,522,22.0,Female,Law,Caucasian,For fun,No,Satisfied,Just right,Too many
521,523,27.0,Female,"Education, Academia",Asian,Meet new people,No,Not satisfied,Too little,Just right
522,524,25.0,Female,"Medical Science, Pharmaceuticals and Bio Tech",Asian,Meet new people,Yes,Very satisfied,Just right,Just right
523,525,24.0,Female,Fine Arts / Arts Administration,Caucasian,Meet new people,No,Satisfied,Too little,Too many
524,526,26.0,Female,Social Work,Hispanic,For fun,No,Not satisfied,Too much,Too many
525,527,24.0,Female,Social Work,Other,For fun,No,Neutral,Too little,Too many
526,528,29.0,Female,Social Work,Hispanic,Meet new people,No,Not satisfied,Too little,Too many
527,529,22.0,Female,Engineering,Asian,Meet new people,No,Neutral,Just right,Just right
528,530,22.0,Female,Engineering,Asian,Meet new people,No,Very satisfied,Too little,Too few
529,531,25.0,Male,Engineering,Asian,Meet new people,No,Not satisfied,Too little,Too many
530,532,26.0,Male,Engineering,Asian,For fun,No,Unknown,Unknown,Unknown
531,533,26.0,Male,Engineering,Caucasian,Meet new people,No,Satisfied,Too little,Too many
532,534,24.0,Male,Engineering,Other,Get a date,No,Satisfied,Too little,Too many
533,535,23.0,Male,Biological Sciences / Chemistry/ Physics,Caucasian,For fun,Yes,Satisfied,Too little,Just right
534,536,29.0,Male,Math,Caucasian,For fun,No,Satisfied,Just right,Just right
535,537,22.0,Male,Engineering,Asian,For fun,Yes,Not satisfied,Too little,Too many
536,538,32.0,Male,Engineering,Caucasian,For fun,Yes,Not satisfied,Just right,Too many
537,539,22.0,Male,Law,Caucasian,For fun,No,Very satisfied,Just right,Too many
538,540,24.0,Male,Engineering,Caucasian,For fun,No,Satisfied,Too little,Too many
539,541,23.0,Male,Engineering,Asian,Get a date,No,Not satisfied,Too little,Just right
540,542,23.0,Male,Engineering,Asian,Meet new people,No,Satisfied,Too little,Just right
541,543,24.0,Male,Engineering,Asian,For fun,No,Not satisfied,Just right,Just right
542,544,23.0,Male,Engineering,Asian,For fun,No,Satisfied,Too little,Just right
543,545,24.0,Male,Engineering,Caucasian,For fun,No,Not satisfied,Just right,Just right
544,546,30.0,Male,Business / Econ / Finance,Caucasian,Meet new people,Yes,Very satisfied,Too little,Too many
545,547,30.0,Male,Business / Econ / Finance,Caucasian,Meet new people,No,Unknown,Unknown,Unknown
546,548,30.0,Male,Business / Econ / Finance,Caucasian,For fun,Yes,Not satisfied,Just right,Too many
547,549,28.0,Male,Business / Econ / Finance,Caucasian,For fun,No,Satisfied,Too little,Too many
548,550,30.0,Male,Business / Econ / Finance,Caucasian,Meet new people,No,Very satisfied,Just right,Just right
549,551,27.0,Male,Business / Econ / Finance,African American,For fun,No,Not satisfied,Too little,Too many
550,552,25.0,Male,Other,Caucasian,For fun,Yes,Neutral,Too little,Too many
